district,total,%,No qualifications,%,Highest level of qualification: Level 1 qualifications,%,Highest level of qualification: Level 2 qualifications,%,Highest level of qualification: Apprenticeship,%,Highest level of qualification: Level 3 qualifications,%,Highest level of qualification: Level 4 qualifications and above,%,Highest level of qualification: Other qualifications,%,Schoolchildren and full-time students: Age 16 to 17,%,Schoolchildren and full-time students: Age 18 and over,%,Full-time students: Age 18 to 74: Economically active: In employment,%,Full-time students: Age 18 to 74: Economically active: Unemployed,%,Full-time students: Age 18 to 74: Economically inactive,%
Allerdale,80155,100,21636,27,10960,13.7,12969,16.2,4020,5,9236,11.5,18254,22.8,3080,3.8,2088,2.6,1496,1.9,689,0.9,117,0.1,677,0.8
Barrow-in-Furness,56796,100,14422,25.4,7710,13.6,8912,15.7,5229,9.2,7791,13.7,10785,19,1947,3.4,1543,2.7,1191,2.1,532,0.9,122,0.2,533,0.9
Carlisle,89042,100,22164,24.9,13199,14.8,14560,16.4,4103,4.6,11177,12.6,19766,22.2,4073,4.6,2020,2.3,3284,3.7,1498,1.7,306,0.3,1472,1.7
Copeland,58613,100,15800,27,8335,14.2,9178,15.7,3439,5.9,7289,12.4,12307,21,2265,3.9,1444,2.5,1022,1.7,410,0.7,81,0.1,517,0.9
Eden,43976,100,9968,22.7,5914,13.4,7253,16.5,1637,3.7,5286,12,12059,27.4,1859,4.2,998,2.3,1105,2.5,559,1.3,78,0.2,465,1.1
South Lakeland,87777,100,16583,18.9,10532,12,13516,15.4,4049,4.6,10377,11.8,29277,33.4,3443,3.9,2312,2.6,1807,2.1,905,1,79,0.1,813,0.9
Bolton,219710,100,57888,26.3,31152,14.2,34731,15.8,9396,4.3,26408,12,48688,22.2,11447,5.2,6647,3,9413,4.3,3533,1.6,982,0.4,4863,2.2
Bury,147935,100,33377,22.6,20823,14.1,25408,17.2,5235,3.5,18217,12.3,37989,25.7,6886,4.7,4293,2.9,5173,3.5,2006,1.4,441,0.3,2697,1.8
Manchester,405709,100,93765,23.1,44981,11.1,48749,12,6902,1.7,65100,16,117243,28.9,28969,7.1,9517,2.3,70168,17.3,18735,4.6,6556,1.6,44795,11
Oldham,174438,100,51620,29.6,25521,14.6,27578,15.8,7325,4.2,20422,11.7,32458,18.6,9514,5.5,5436,3.1,7072,4.1,2468,1.4,868,0.5,3714,2.1
